sid_GLDH	pid_GLDH	GLDH	sid_ALT	pid_ALT	ALT	sid_Bilirubin	pid_Bilirubin	Bilirubin	sid_Bilirubin	pid_albumin	albumin	sid_BrdU_HC	pid_BrdU_HC	BrdU_HC	sid_BrdU_NHC	pid_BrdU_NPC	BrdU_NPC	sid_BrdU_Kupffer	pid_BrdU_Kupffer	BrdU_Kupffer	sid_BrdU_HSC	pid_BrdU_HSC	BrdU_HSC	sid_BrdU_SiriusRed	pid_BrdU_SiriusRed	BrdU_SiriusRed
1	1 0h 17.12.09	16.3	1	1 0h 17.12.09	26.5	1	1 0h 17.12.09	1.49	1	1 0h 17.12.09	21.231	3	3 0h 06.01.10	0.0167333333	3	3 0h 06.01.10	0.3848666667	3	3 0h 06.01.10	0.16	3	3 0h 06.01.10	0.0083666667	3	3 0h 06.01.10	0.0121243172
2	2 0h 17.12.09	9.3	2	2 0h 17.12.09	27.6	2	2 0h 17.12.09	0.93	2	2 0h 17.12.09	26.092	4	4 0h 06.01.10	0.0251	4	4 0h 06.01.10	1.3333333333	4	4 0h 06.01.10	0.11	4	4 0h 06.01.10	0	4	4 0h 06.01.10	0.0188252805
3	3 0h 06.01.10	8.4	3	3 0h 06.01.10	28.6	3	3 0h 06.01.10	1.65	3	3 0h 06.01.10	23.780	1	1 0h 17.12.09	0.0753	1	1 0h 17.12.09	0.2761	1	1 0h 17.12.09	0.09	1	1 0h 17.12.09	0	1	1 0h 17.12.09	0.0138036359
4	4 0h 06.01.10	10.4	4	4 0h 06.01.10	28.6	4	4 0h 06.01.10	0.85	4	4 0h 06.01.10	17.760	2	2 0h 17.12.09	0.0418333333	2	2 0h 17.12.09	0.1004	2	2 0h 17.12.09	0.13	2	2 0h 17.12.09	0	2	2 0h 17.12.09	0.0117755802
5	5 0h 06.01.10	20.6	5	5 0h 06.01.10	33.2	5	5 0h 06.01.10	0.53	5	5 0h 06.01.10	19.199	5	5 0h 06.01.10	0.1338666667	5	5 0h 06.01.10	0.4016	5	5 0h 06.01.10	0.13	5	5 0h 06.01.10	0.0334666667	5	5 0h 06.01.10	0.0265026114
6	2 6h 11.12.09	516.0	6	2 6h 11.12.09	410.0	6	2 6h 11.12.09	25.80	6	2 6h 11.12.09	40.600	6	2 6h 11.12.09	0.4350666667	6	2 6h 11.12.09	0.4434333333	6	2 6h 11.12.09	0.1924333333	6	2 6h 11.12.09	0	6	2 6h 11.12.09	0.0136310464
7	3 6h 11.12.09	734.4	7	3 6h 11.12.09	661.8	7	3 6h 11.12.09	13.87	7	3 6h 11.12.09	30.752	9	3 6h 01.12.09	0.0334666667	9	3 6h 01.12.09	0.3597666667	9	3 6h 01.12.09	0.1087666667	9	3 6h 01.12.09	0	9	3 6h 01.12.09	0.0045187086
8	4 6h 11.12.09	1102.0	8	4 6h 11.12.09	772.9	8	4 6h 11.12.09	10.70	8	4 6h 11.12.09	19.147	8	4 6h 11.12.09	0.0920333333	8	4 6h 11.12.09	0.3263	8	4 6h 11.12.09	0.1087666667	8	4 6h 11.12.09	0.0167333333	8	4 6h 11.12.09	0.0043244905
9	3 6h 01.12.09	2220.0	9	3 6h 01.12.09	570.8	9	3 6h 01.12.09	15.08	9	3 6h 01.12.09	23.090	7	3 6h 11.12.09	0.0251	7	3 6h 11.12.09	0.2175333333	7	3 6h 11.12.09	0.1087666667	7	3 6h 11.12.09	0.0251	7	3 6h 11.12.09	0.0039145456
10	4 6h 01.12.09	652.0	10	4 6h 01.12.09	249.8	10	4 6h 01.12.09	8.96	10	4 6h 01.12.09	20.146	10	4 6h 01.12.09	0.0920333333	10	4 6h 01.12.09	0.5187333333	10	4 6h 01.12.09	0.2342666667	10	4 6h 01.12.09	0.0167333333	10	4 6h 01.12.09	0.0011765026
